,6
291,"37.620465,126.927435"
292,"37.621223,126.914993"
293,"37.611390,126.910297"
294,"37.612276,126.922850"
295,"37.592677,126.920257"
296,"37.604770,126.915663"
297,"37.595711,126.909195"
298,"37.584724,126.907223"
299,"37.644355,126.936524"
300,"37.565192,126.964529"
301,"37.562611,126.961351"
302,"37.561567,126.966566"
303,"37.563162,126.967026"
304,"37.567257,126.963890"
305,"37.568285,126.960571"
306,"37.569686,126.960890"
307,"37.570759,126.960460"
308,"37.576486,126.954220"
309,"37.561666,126.956170"
310,"37.588734,126.946107"
311,"37.558086,126.944504"
312,"37.566438,126.945199"
313,"37.568134,126.946792"
314,"37.569952,126.947063"
315,"37.558584,126.934113"
316,"37.570389,126.929628"
317,"37.591560,126.938775"
318,"37.580344,126.912261"
319,"37.577538,126.922311"
320,"37.555483,126.955998"
321,"37.548828,126.959006"
322,"37.544374,126.956854"
323,"37.539966,126.950000"
324,"37.541967,126.940414"
325,"37.540350,126.940474"
326,"37.537003,126.945323"
327,"37.551055,126.943731"
328,"37.551546,126.947279"
329,"37.554402,126.938556"
330,"37.547351,126.937074"
331,"37.543840,126.933903"
332,"37.545679,126.932695"
333,"37.550966,126.929835"
334,"37.547431,126.922946"
335,"37.545750,126.928674"
336,"37.544210,126.930866"
337,"37.546250,126.920245"
338,"37.553910,126.918985"
339,"37.557650,126.925663"
340,"37.549046,126.911558"
341,"37.556620,126.903976"
342,"37.562962,126.921783"
343,"37.563317,126.910870"
344,"37.570400,126.907656"
345,"37.577131,126.893488"
346,"37.521636,126.857957"
347,"37.539776,126.869079"
348,"37.529444,126.834248"
349,"37.551366,126.871300"
350,"37.551325,126.858411"
351,"37.538358,126.847336"
352,"37.568238,126.845059"
353,"37.566092,126.830395"
354,"37.552616,126.835730"
355,"37.546721,126.821871"
356,"37.558805,126.813297"
357,"37.569138,126.812192"
358,"37.582069,126.801198"
359,"37.560661,126.794953"
360,"37.554615,126.775768"
361,"37.541148,126.796575"
362,"37.509454,126.880425"
363,"37.492900,126.886427"
364,"37.482944,126.888062"
365,"37.503560,126.855829"
366,"37.494970,126.851409"
367,"37.494129,126.840746"
368,"37.496870,126.831303"
369,"37.493507,126.820255"
370,"37.482016,126.841789"
371,"37.484059,126.822980"
372,"37.477598,126.888291"
373,"37.469371,126.901246"
374,"37.453325,126.906222"
375,"37.513448,126.907724"
376,"37.517710,126.913057"
377,"37.520839,126.910094"
378,"37.518155,126.907998"
379,"37.517981,126.903506"
380,"37.521133,126.907084"
381,"37.521556,126.903090"
382,"37.524619,126.906670"
383,"37.527015,126.905253"
384,"37.524371,126.925958"
385,"37.522336,126.898748"
386,"37.522967,126.892688"
387,"37.525551,126.896668"
388,"37.528887,126.898848"
389,"37.532856,126.899187"
390,"37.534373,126.903445"
391,"37.528625,126.907439"
392,"37.509277,126.902494"
393,"37.512364,126.897201"
394,"37.513290,126.893779"
395,"37.516929,126.897249"
396,"37.515082,126.890475"
397,"37.515863,126.885676"
398,"37.519342,126.886528"
399,"37.523571,126.888814"
400,"37.524270,126.884578"
401,"37.528148,126.889731"
402,"37.537079,126.896260"
403,"37.538964,126.893422"
404,"37.542645,126.890065"
405,"37.545629,126.891554"
406,"37.507088,126.913103"
407,"37.494306,126.900642"
408,"37.522602,126.881344"
409,"37.510162,126.940418"
410,"37.499206,126.940385"
411,"37.502889,126.950645"
412,"37.511491,126.954336"
413,"37.505964,126.962578"
414,"37.496605,126.980985"
415,"37.483974,126.974999"
416,"37.504791,126.927862"
417,"37.492678,126.917721"
418,"37.482717,126.949951"
419,"37.476412,126.925691"
420,"37.474116,126.976721"
421,"37.484677,126.989955"
422,"37.474839,127.041717"
423,"37.466629,127.021892"
424,"37.446848,127.053774"
425,"37.513667,127.016166"
426,"37.502816,127.010493"
427,"37.488514,127.016222"
428,"37.456881,127.074171"
429,"37.462035,127.052837"
430,"37.447112,127.058841"
431,"37.500335,127.037596"
432,"37.478260,127.052024"
433,"37.523404,127.046858"
434,"37.512792,127.053085"
435,"37.501711,127.057851"
436,"37.522893,127.028589"
437,"37.513093,127.031353"
438,"37.528752,127.031766"
439,"37.466494,127.103021"
440,"37.476796,127.100387"
441,"37.471450,127.107251"
442,"37.491326,127.083799"
443,"37.485767,127.098137"
444,"37.486509,127.040738"
445,"37.506967,127.083673"
446,"37.517302,127.104967"
447,"37.534673,127.117643"
448,"37.506058,127.111216"
449,"37.502699,127.102321"
450,"37.502724,127.092352"
451,"37.496486,127.126006"
452,"37.486581,127.127495"
453,"37.478077,127.133269"
454,"37.512017,127.116902"
455,"37.503984,127.135124"
456,"37.494161,127.145196"
457,"37.497117,127.152393"
458,"37.549276,127.147555"
459,"37.561068,127.160582"
460,"37.548220,127.170630"
461,"37.539123,127.143163"
462,"37.531157,127.142891"
463,"37.552497,127.133010"
464,"37.531338,127.129174"
465,"37.543676,127.131748"
466,"37.569204,127.171620"
