변환한 주소	시	구	동	상호명	유가 정보 기간	상표	셀프여부	고급휘발유	휘발유	경유
서울 강남구 수서동 522-1	서울	강남구	수서동	주)중앙에너비스 수서지점	2019년 10월 4주	SK에너지	셀프	1963.71	1633.71	1463.71
서울 강남구 역삼동 668-13	서울	강남구	역삼동	지에스칼텍스㈜ GS타워주유소	2019년 10월 4주	GS칼텍스	일반	1798.43	1646.43	1526.43
서울 강남구 삼성동 119-18	서울	강남구	삼성동	지에스칼텍스㈜ 삼성로주유소	2019년 10월 4주	GS칼텍스	셀프	1817.00	1667.00	1532.00
서울 강남구 대치동 994	서울	강남구	대치동	지에스칼텍스㈜ 은마주유소	2019년 10월 4주	GS칼텍스	일반	1803.43	1653.43	1521.43
서울 강남구 청담동 132-9	서울	강남구	청담동	지에스칼텍스㈜ 주성주유소	2019년 10월 4주	GS칼텍스	일반	1812.57	1662.57	1532.57
서울 강남구 역삼동 734-15	서울	강남구	역삼동	청명주유소	2019년 10월 4주	SK에너지	일반	1898.00	1698.00	1598.00
서울 강남구 대치동 2-7	서울	강남구	대치동	학여울주유소	2019년 10월 4주	GS칼텍스	일반	2199.57	1949.57	1805.57
서울 강남구 도곡동 411-8	서울	강남구	도곡동	현대오일뱅크 도곡셀프주유소	2019년 10월 4주	현대오일뱅크	셀프	1743.00	1578.71	1424.00
서울 강남구 도곡동 515-2	서울	강남구	도곡동	현대오일뱅크(주) 유진주유소	2019년 10월 4주	현대오일뱅크	일반	1759.00	1593.71	1439.00
서울 강남구 신사동 563-10	서울	강남구	신사동	현대오일뱅크(주)직영 신사현대주유소	2019년 10월 4주	현대오일뱅크	일반	2016.00	1827.29	1653.29
서울 강남구 신사동 638	서울	강남구	신사동	현대오일뱅크(주)직영 한양주유소	2019년 10월 4주	현대오일뱅크	일반	2058.43	1897.00	1755.00
서울 강동구 암사동 441-13	서울	강동구	암사동	(주)삼표에너지 고덕주유소	2019년 10월 4주	GS칼텍스	일반	1898.00	1698.00	1529.00
서울 강동구 성내동 107-7	서울	강동구	성내동	(주)소모에너지엔테크놀러지 성내주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1598.00	1458.00
서울 강동구 성내동 319-1	서울	강동구	성내동	(주)퍼스트오일 코알라주유소	2019년 10월 4주	S-OIL	셀프	0.00	1598.00	1458.00
서울 강동구 명일동 305-51	서울	강동구	명일동	SK네트웍스 명일셀프주유소	2019년 10월 4주	SK에너지	일반	1899.00	1669.00	1499.00
서울 강동구 암사동 513-27	서울	강동구	암사동	SK네트웍스㈜암사주유소(self)	2019년 10월 4주	SK에너지	셀프	1926.14	1646.14	1481.86
서울 강동구 강일동 642-1	서울	강동구	강일동	sk해뜨는주유소	2019년 10월 4주	SK에너지	셀프	0.00	1628.00	1498.00
서울 강동구 길동 368-5	서울	강동구	길동	강동주유소	2019년 10월 4주	SK에너지	일반	2268.00	1993.00	1797.00
서울 강동구 둔촌동 600-1	서울	강동구	둔촌동	고속셀프주유소	2019년 10월 4주	SK에너지	셀프	1976.14	1646.14	1476.14
서울 강동구 천호동 354-4	서울	강동구	천호동	광성주유소	2019년 10월 4주	S-OIL	일반	0.00	1658.00	1518.00
서울 강동구 암사동 425-187	서울	강동구	암사동	구천면주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1586.00	1437.00
서울 강동구 둔촌동 66-2	서울	강동구	둔촌동	대성석유(주)직영 길동주유소	2019년 10월 4주	GS칼텍스	일반	1798.00	1628.00	1498.00
서울 강동구 명일동 216-5	서울	강동구	명일동	방아다리주유소	2019년 10월 4주	SK에너지	셀프	0.00	1629.00	1477.00
서울 강동구 성내동 385-4	서울	강동구	성내동	주)지유에너지직영 오렌지주유소	2019년 10월 4주	SK에너지	일반	0.00	1623.00	1483.00
서울 강동구 상일동 443-8	서울	강동구	상일동	지에스칼텍스㈜ 동서울주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1581.71	1404.71
서울 강동구 성내동 439-16	서울	강동구	성내동	지에스칼텍스㈜ 신월주유소	2019년 10월 4주	GS칼텍스	일반	1796.00	1596.00	1472.86
서울 강동구 천호동 308-11	서울	강동구	천호동	천호현대주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1599.00	1448.00
서울 강북구 수유동 472-211	서울	강북구	수유동	(주)석산에너지	2019년 10월 4주	현대오일뱅크	일반	0.00	1479.00	1329.00
서울 강북구 수유동 440-36	서울	강북구	수유동	(주)에프알엔디 직영 송정주유소	2019년 10월 4주	SK에너지	일반	0.00	1513.00	1369.00
서울 강북구 미아동 746-3	서울	강북구	미아동	SK매일주유소	2019년 10월 4주	SK에너지	셀프	0.00	1569.00	1419.00
서울 강북구 미아동 135-13	서울	강북구	미아동	㈜지에스이앤알 미아주유소	2019년 10월 4주	GS칼텍스	셀프	1767.00	1498.00	1379.00
서울 강북구 수유동 277-20	서울	강북구	수유동	대성석유(주)신광주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1479.00	1379.00
서울 강북구 수유동 392	서울	강북구	수유동	북서울고속주유소	2019년 10월 4주	S-OIL	셀프	0.00	1479.00	1329.00
서울 강북구 미아동 62-7	서울	강북구	미아동	새한주유소	2019년 10월 4주	SK에너지	셀프	1961.86	1571.86	1449.00
서울 강북구 번동 428-38	서울	강북구	번동	세원주유소	2019년 10월 4주	SK에너지	셀프	0.00	1519.00	1379.00
서울 강북구 수유동 168-3	서울	강북구	수유동	수유동주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1490.43	1349.00
서울 강북구 번동 112	서울	강북구	번동	에덴주유소	2019년 10월 4주	SK에너지	셀프	0.00	1527.00	1367.00
서울 강북구 번동 436-38	서울	강북구	번동	태창에너지 좋은기름주유소	2019년 10월 4주	S-OIL	일반	0.00	1520.14	1376.14
서울 강북구 미아동 197-14	서울	강북구	미아동	현대오일뱅크(주)직영 미아셀프주유소	2019년 10월 4주	현대오일뱅크	셀프	1767.00	1498.00	1379.00
서울 강북구 번동 410-94	서울	강북구	번동	현대오일뱅크(주)직영 번동셀프주유소	2019년 10월 4주	현대오일뱅크	셀프	1793.00	1513.00	1369.00
서울 강서구 내발산동 701-7	서울	강서구	내발산동	(주)발산주유소	2019년 10월 4주	현대오일뱅크	일반	1677.00	1483.71	1349.00
서울 강서구 공항동 1373-5	서울	강서구	공항동	(주)한진 김포공항제2주유소	2019년 10월 4주	S-OIL	일반	0.00	1630.71	1481.71
서울 강서구 외발산동 423-2	서울	강서구	외발산동	(주)한진 김포공항주유소	2019년 10월 4주	S-OIL	셀프	0.00	1486.00	1378.00
서울 강서구 외발산동 379	서울	강서구	외발산동	KH에너지(주)직영 KH외발산주유소	2019년 10월 4주	SK에너지	셀프	1868.00	1497.00	1320.86
서울 강서구 가양동 151-1	서울	강서구	가양동	KH에너지(주)직영 가양주유소	2019년 10월 4주	SK에너지	일반	1789.00	1545.00	1399.00
서울 강서구 방화동 645-6	서울	강서구	방화동	SK네트웍스 에어포트주유소	2019년 10월 4주	SK에너지	일반	0.00	1789.00	1559.00
서울 강서구 등촌동 510-13	서울	강서구	등촌동	강서열린점	2019년 10월 4주	GS칼텍스	일반	0.00	1513.71	1380.86
서울 강서구 오곡동 594-1	서울	강서구	오곡동	강서오곡셀프주유소	2019년 10월 4주	SK에너지	셀프	0.00	1487.00	1309.43
서울 강서구 방화동 488-1	서울	강서구	방화동	개화주유소	2019년 10월 4주	SK에너지	셀프	0.00	1497.00	1337.00
서울 강서구 화곡동 862-14	서울	강서구	화곡동	뉴신정주유소	2019년 10월 4주	알뜰주유소	일반	0.00	1472.29	1301.71
서울 강서구 마곡동 784-1	서울	강서구	마곡동	대성석유(주) 마곡대성주유소	2019년 10월 4주	GS칼텍스	셀프	1759.00	1533.57	1387.57
서울 강서구 마곡동 752	서울	강서구	마곡동	대성석유(주)방화대성주유소	2019년 10월 4주	GS칼텍스	셀프	1779.00	1539.00	1379.00
서울 강서구 내발산동 648-3	서울	강서구	내발산동	대성석유(주)직영관문주유소	2019년 10월 4주	GS칼텍스	일반	1759.00	1498.00	1390.43
서울 강서구 등촌동 684	서울	강서구	등촌동	대성주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1543.57	1397.57
서울 강서구 화곡동 785-2	서울	강서구	화곡동	목화주유소	2019년 10월 4주	SK에너지	셀프	0.00	1506.00	1376.00
서울 강서구 가양동 26-1	서울	강서구	가양동	박물관주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1562.29	1418.00
서울 강서구 방화동 609-59	서울	강서구	방화동	방화주유소	2019년 10월 4주	SK에너지	일반	0.00	1495.00	1335.00
서울 강서구 가양동 272-31	서울	강서구	가양동	세원제1주유소	2019년 10월 4주	SK에너지	셀프	0.00	1537.14	1384.71
서울 강서구 방화동 523-22	서울	강서구	방화동	스카이주유소	2019년 10월 4주	S-OIL	셀프	1645.00	1486.00	1316.00
서울 강서구 화곡동 931-11	서울	강서구	화곡동	신화곡주유소	2019년 10월 4주	S-OIL	셀프	0.00	1498.00	1347.86
서울 강서구 염창동 263-8	서울	강서구	염창동	염창동주유소	2019년 10월 4주	SK에너지	일반	0.00	1837.00	1677.00
서울 강서구 내발산동 702-5	서울	강서구	내발산동	우장산주유소	2019년 10월 4주	SK에너지	일반	0.00	1483.71	1349.00
서울 강서구 공항동 61-100	서울	강서구	공항동	유턴주유소	2019년 10월 4주	알뜰주유소	셀프	0.00	1492.71	1332.71
서울 강서구 화곡동 843-4	서울	강서구	화곡동	지에스칼텍스㈜ 경인고속주유소	2019년 10월 4주	GS칼텍스	셀프	1667.43	1514.57	1378.14
서울 강서구 오곡동 699-19	서울	강서구	오곡동	참솔에너지	2019년 10월 4주	S-OIL	셀프	0.00	1698.00	1498.00
서울 강서구 등촌동 631-7	서울	강서구	등촌동	코리나(주)청룡주유소	2019년 10월 4주	SK에너지	일반	0.00	1618.00	1468.00
서울 강서구 화곡동 1125	서울	강서구	화곡동	하이웨이주유소	2019년 10월 4주	S-OIL	셀프	1641.29	1495.00	1345.00
서울 강서구 화곡동 20-1	서울	강서구	화곡동	해바라기	2019년 10월 4주	SK에너지	셀프	0.00	1534.71	1380.71
서울 강서구 개화동 565-4	서울	강서구	개화동	행촌에너지 공항주유소	2019년 10월 4주	현대오일뱅크	셀프	0.00	1497.00	1337.00
서울 강서구 등촌동 511-5	서울	강서구	등촌동	현대오일뱅크 등촌주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1507.00	1367.00
서울 강서구 염창동 283-4	서울	강서구	염창동	현대오일뱅크 양화교주유소	2019년 10월 4주	현대오일뱅크	일반	1695.00	1510.00	1369.00
서울 강서구 가양동 58-2	서울	강서구	가양동	현대오일뱅크(주) 가양주유소	2019년 10월 4주	현대오일뱅크	일반	1695.00	1530.00	1379.00
서울 강서구 화곡동 1076-14	서울	강서구	화곡동	화곡역주유소	2019년 10월 4주	알뜰주유소	셀프	0.00	1472.29	1301.71
서울 강서구 화곡동 402-1	서울	강서구	화곡동	화곡현대주유소	2019년 10월 4주	SK에너지	셀프	1749.00	1498.00	1359.00
서울 관악구 봉천동 726-10	서울	관악구	봉천동	(주)엠오티이엔지 직영 삼화주유소	2019년 10월 4주	알뜰주유소	일반	0.00	1519.00	1369.00
서울 관악구 신림동 1641-58	서울	관악구	신림동	(주)연우에너지 신관주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1519.43	1385.14
서울 관악구 봉천동 1679-30	서울	관악구	봉천동	(주)한유에너지행운셀프주유소	2019년 10월 4주	SK에너지	셀프	1976.00	1571.86	1494.00
서울 관악구 신림동 507-24	서울	관악구	신림동	CJ대한통운㈜ 신림주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1665.00	1520.00
서울 관악구 봉천동 1663-11	서울	관악구	봉천동	SK에너지(주) 신봉천	2019년 10월 4주	SK에너지	일반	1854.00	1644.00	1499.00
서울 관악구 남현동 602-306	서울	관악구	남현동	SK에너지(주)직영 대공원주유소	2019년 10월 4주	SK에너지	일반	0.00	1599.00	1459.00
서울 관악구 봉천동 912-15	서울	관악구	봉천동	관악시몬주유소	2019년 10월 4주	S-OIL	일반	0.00	1582.29	1479.43
서울 관악구 남현동 1054-6	서울	관악구	남현동	남현주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1573.29	1433.29
서울 관악구 봉천동 729-4	서울	관악구	봉천동	대양석유(주)직영 보라매주유소	2019년 10월 4주	SK에너지	셀프	0.00	1549.00	1399.00
서울 관악구 신림동 1477-5	서울	관악구	신림동	문성골주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1648.00	1498.00
서울 관악구 봉천동 1659-1	서울	관악구	봉천동	서일석유(주)락성주유소	2019년 10월 4주	GS칼텍스	셀프	1773.29	1573.29	1433.29
서울 관악구 신림동 112-47	서울	관악구	신림동	유림주유소	2019년 10월 4주	S-OIL	일반	0.00	1518.43	1384.14
서울 관악구 신림동 616-1	서울	관악구	신림동	지에스칼텍스㈜ 난곡주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1601.57	1478.57
서울 관악구 봉천동 948-17	서울	관악구	봉천동	한규상사 유정주유소	2019년 10월 4주	SK에너지	일반	0.00	1638.00	1498.00
서울 관악구 신림동 1571-8	서울	관악구	신림동	현대오일뱅크(주)직영 관악셀프주유소	2019년 10월 4주	현대오일뱅크	셀프	1739.71	1559.71	1404.71
서울 관악구 신림동 666-14	서울	관악구	신림동	현대주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1579.00	1439.00
서울 광진구 군자동 134-53	서울	광진구	군자동	(주)장수주유소	2019년 10월 4주	SK에너지	일반	0.00	1542.00	1373.00
서울 광진구 자양동 677-5	서울	광진구	자양동	SK장호셀프주유소	2019년 10월 4주	SK에너지	셀프	0.00	1577.57	1477.57
서울 광진구 광장동 336-1	서울	광진구	광장동	강평주유소	2019년 10월 4주	SK에너지	일반	1770.14	1551.29	1385.14
서울 광진구 자양동 779-7	서울	광진구	자양동	구의스타주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1569.00	1399.00
서울 광진구 화양동 302-13	서울	광진구	화양동	대명주유소	2019년 10월 4주	SK에너지	셀프	1985.00	1595.00	1469.00
서울 광진구 구의동 203-9	서울	광진구	구의동	대성산업(주)구의주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1584.00	1439.00
서울 광진구 중곡동 18-70	서울	광진구	중곡동	대원주유소	2019년 10월 4주	S-OIL	일반	0.00	1520.00	1359.14
서울 광진구 구의동 587-10	서울	광진구	구의동	동서울주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1598.00	1483.71
서울 광진구 광장동 239-6	서울	광진구	광장동	삼호주유소	2019년 10월 4주	S-OIL	셀프	1767.43	1561.71	1414.14
서울 광진구 중곡동 58-17	서울	광진구	중곡동	용마주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1519.14	1358.57
서울 광진구 자양동 227-4	서울	광진구	자양동	자양주유소	2019년 10월 4주	SK에너지	일반	1835.00	1575.14	1475.14
서울 광진구 중곡동 236-5	서울	광진구	중곡동	정해네트웍스(주)일진주유소	2019년 10월 4주	S-OIL	셀프	1597.00	1497.00	1317.00
서울 광진구 중곡동 610-7	서울	광진구	중곡동	태양주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1506.43	1326.43
서울 광진구 능동 255-2	서울	광진구	능동	평안주유소	2019년 10월 4주	알뜰주유소	일반	0.00	1515.29	1355.14
서울 광진구 중곡동 235-2	서울	광진구	중곡동	현대오일뱅크(주) 중원주유소	2019년 10월 4주	현대오일뱅크	일반	1792.00	1537.00	1357.00
서울 광진구 능동 236-4	서울	광진구	능동	현대오일뱅크(주)직영 능동주유소	2019년 10월 4주	현대오일뱅크	셀프	1739.00	1516.14	1355.14
서울 광진구 중곡동 186-6	서울	광진구	중곡동	현대오일뱅크(주)직영 중곡현대주유소	2019년 10월 4주	현대오일뱅크	일반	1792.00	1537.00	1357.00
서울 구로구 구로동 1131-4	서울	구로구	구로동	 현대오일뱅크㈜직영 구로셀프주유소	2019년 10월 4주	현대오일뱅크	셀프	1735.71	1523.71	1373.71
서울 구로구 구로동 602-6	서울	구로구	구로동	(주)유공 구인주유소	2019년 10월 4주	SK에너지	일반	0.00	1675.00	1535.00
서울 구로구 구로동 100-10	서울	구로구	구로동	(주)한미석유구로그린주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1509.00	1339.00
서울 구로구 구로동 1126-17	서울	구로구	구로동	JHC에너지	2019년 10월 4주	알뜰주유소	일반	0.00	1517.00	1367.00
서울 구로구 구로동 685-500	서울	구로구	구로동	SK구로주유소	2019년 10월 4주	SK에너지	일반	0.00	1588.00	1436.57
서울 구로구 개봉동 226-1	서울	구로구	개봉동	SK에너지(주)직영 개봉동주유소	2019년 10월 4주	SK에너지	일반	0.00	1557.00	1397.00
서울 구로구 고척동 167-32	서울	구로구	고척동	㈜지에스이앤알 근린공원주유소	2019년 10월 4주	S-OIL	일반	0.00	1504.71	1354.71
서울 구로구 개봉동 92-3	서울	구로구	개봉동	개봉주유소	2019년 10월 4주	현대오일뱅크	셀프	0.00	1528.00	1386.57
서울 구로구 구로동 754-4	서울	구로구	구로동	구로주유소	2019년 10월 4주	GS칼텍스	일반	0.00	2064.00	1918.00
서울 구로구 항동 72	서울	구로구	항동	극동유화(주)항동주유소	2019년 10월 4주	S-OIL	셀프	0.00	1498.00	1334.00
서울 구로구 신도림동 361	서울	구로구	신도림동	대성산업(주)디큐브주유소	2019년 10월 4주	GS칼텍스	일반	1728.00	1539.00	1339.00
서울 구로구 오류동 77-10	서울	구로구	오류동	동선주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1556.00	1397.00
서울 구로구 구로동 147-7	서울	구로구	구로동	동아주유소	2019년 10월 4주	S-OIL	일반	0.00	1768.00	1398.00
서울 구로구 온수동 35-3	서울	구로구	온수동	서울석유(주)풀페이주유소	2019년 10월 4주	SK에너지	일반	0.00	1479.00	1316.86
서울 구로구 온수동 9-12	서울	구로구	온수동	시몬주유소	2019년 10월 4주	S-OIL	일반	0.00	1547.00	1394.14
서울 구로구 구로동 461-13	서울	구로구	구로동	신성주유소	2019년 10월 4주	현대오일뱅크	셀프	0.00	1508.00	1368.00
서울 구로구 오류동 81-29	서울	구로구	오류동	신오류주유소	2019년 10월 4주	SK에너지	일반	0.00	1681.86	1570.71
서울 구로구 가리봉동 90-2	서울	구로구	가리봉동	영진주유소	2019년 10월 4주	S-OIL	일반	0.00	1579.00	1377.00
서울 구로구 고척동 76-74	서울	구로구	고척동	정은주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1557.00	1397.00
서울 구로구 궁동 283-2	서울	구로구	궁동	처음처럼주유소	2019년 10월 4주	S-OIL	일반	0.00	1498.00	1339.00
서울 구로구 구로동 106-5	서울	구로구	구로동	현대오일뱅크(주)직영 신구로주유소	2019년 10월 4주	현대오일뱅크	일반	1775.71	1587.71	1448.71
서울 금천구 독산동 1077-3	서울	금천구	독산동	(주)진우에너지 백운주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1498.00	1340.86
서울 금천구 독산동 967	서울	금천구	독산동	(주)태영유업 독산고개	2019년 10월 4주	현대오일뱅크	셀프	0.00	1514.00	1363.00
서울 금천구 시흥동 993	서울	금천구	시흥동	KH에너지(주)직영시흥대로주유소	2019년 10월 4주	SK에너지	일반	0.00	1518.29	1368.29
서울 금천구 시흥동 980	서울	금천구	시흥동	SK에너지(주) 박미주유소	2019년 10월 4주	SK에너지	일반	0.00	1599.00	1466.00
서울 금천구 독산동 150-6	서울	금천구	독산동	SK에너지(주) 이가주유소	2019년 10월 4주	SK에너지	일반	0.00	1619.00	1484.00
서울 금천구 시흥동 860-36	서울	금천구	시흥동	경복에너지주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1519.00	1369.00
서울 금천구 가산동 535-155	서울	금천구	가산동	구광주유소	2019년 10월 4주	S-OIL	일반	0.00	1496.43	1346.43
서울 금천구 독산동 195-2	서울	금천구	독산동	남서울경복에너지	2019년 10월 4주	S-OIL	셀프	0.00	1519.00	1369.00
서울 금천구 시흥동 983-1	서울	금천구	시흥동	대득에너지(금천셀프주유소)	2019년 10월 4주	GS칼텍스	셀프	0.00	1514.00	1364.00
서울 금천구 독산동 292-7	서울	금천구	독산동	명보주유소	2019년 10월 4주	알뜰주유소	일반	0.00	1514.00	1364.00
서울 금천구 시흥동 904	서울	금천구	시흥동	백산주유소	2019년 10월 4주	S-OIL	셀프	0.00	1500.29	1351.00
서울 금천구 독산동 900-4	서울	금천구	독산동	순환도로	2019년 10월 4주	SK에너지	일반	0.00	1706.43	1587.00
서울 금천구 시흥동 939-4	서울	금천구	시흥동	지에스칼텍스(주)일신주유소	2019년 10월 4주	GS칼텍스	셀프	1674.71	1519.00	1369.00
서울 노원구 상계동 1205-7	서울	노원구	상계동	(주)소모에너지엔테크놀러지 수락산주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1522.00	1365.00
서울 노원구 공릉동 657-12	서울	노원구	공릉동	(주)이엠배꽃나라주유소	2019년 10월 4주	GS칼텍스	셀프	1698.00	1523.00	1373.00
서울 노원구 하계동 243-3	서울	노원구	하계동	sk네트웍스(주)직영 하계주유소	2019년 10월 4주	SK에너지	일반	1996.71	1699.00	1579.00
서울 노원구 공릉동 596-10	서울	노원구	공릉동	노원주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1599.00	1469.00
서울 노원구 중계동 366-8	서울	노원구	중계동	불암주유소	2019년 10월 4주	S-OIL	셀프	0.00	1574.00	1414.00
서울 노원구 공릉동 26-63	서울	노원구	공릉동	삼육주유소	2019년 10월 4주	SK에너지	셀프	0.00	1541.43	1401.43
서울 노원구 상계동 387-212	서울	노원구	상계동	상계동주유소	2019년 10월 4주	현대오일뱅크	일반	0.00	1680.00	1540.00
서울 노원구 월계동 364-2	서울	노원구	월계동	성북역주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1546.57	1383.71
서울 노원구 월계동 295-4	서울	노원구	월계동	신성주유소	2019년 10월 4주	S-OIL	셀프	0.00	1582.71	1403.29
서울 노원구 상계동 718-2	서울	노원구	상계동	양지진흥개발(주)상계주유소	2019년 10월 4주	SK에너지	일반	0.00	1738.00	1588.00
서울 노원구 월계동 935	서울	노원구	월계동	월계주유소	2019년 10월 4주	GS칼텍스	셀프	0.00	1527.00	1367.00
서울 노원구 공릉동 230-17	서울	노원구	공릉동	태릉솔밭주유소	2019년 10월 4주	S-OIL	셀프	1698.00	1523.00	1377.00
서울 노원구 하계동 141-3	서울	노원구	하계동	하계삼호주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1698.00	1581.00
서울 노원구 공릉동 379-17	서울	노원구	공릉동	한신주유소	2019년 10월 4주	SK에너지	일반	1753.00	1558.00	1418.00
서울 노원구 공릉동 649-14	서울	노원구	공릉동	화랑대주유소	2019년 10월 4주	SK에너지	셀프	1795.00	1556.00	1401.00
서울 도봉구 방학동 725-5	서울	도봉구	방학동	(주)소모에너지엔테크놀러지 신중계주유소	2019년 10월 4주	GS칼텍스	일반	0.00	1692.00	1533.00
서울 도봉구 쌍문동 342-1	서울	도봉구	쌍문동	(주)쌍문셀프주유소	2019년 10월 4주	현대오일뱅크	셀프	0.00	1515.00	1375.00
서울 도봉구 도봉동 298-2	서울	도봉구	도봉동	SK네트웍스(주)도봉행복주유소	2019년 10월 4주	SK에너지	셀프	0.00	1565.00	1415.00
